speciesID,group,family,genus,species,scientificName,commonName,decimalLatitude,decimalLongitude,date,status,recordType,freshMarineIntro,waterbody
2954,Plants,Onagraceae,Ludwigia,peruviana,Ludwigia peruviana,Peruvian primrose-willow,27.49892,-82.48531,2020-02-15,established,Literature,Freshwater,LTB
477,Fishes,Cichlidae,Sarotherodon,melanotheron,Sarotherodon melanotheron,Blackchin Tilapia,27.50251,-82.48858,2022-12-26,,Literature,,LTB
57,Amphibians,Hylidae,Osteopilus,septentrionalis,Osteopilus septentrionalis,Cuban Treefrog,27.51199,-82.46577,2019-06-10,established,Literature,Freshwater,LTB
110,Mollusks,Mytilidae,Perna,viridis,Perna viridis,green mussel,27.7188,-82.484484,2001-12-12,established,Personal communication,Marine,MTB
453,Fishes,Cichlidae,Cichlasoma,urophthalma,Cichlasoma urophthalma,Mayan Cichlid,27.71716,-82.4569,2022-08-19,,Literature,,MTB
453,Fishes,Cichlidae,Cichlasoma,urophthalma,Cichlasoma urophthalma,Mayan Cichlid,27.71724,-82.45695,2022-11-05,,Literature,,MTB
57,Amphibians,Hylidae,Osteopilus,septentrionalis,Osteopilus septentrionalis,Cuban Treefrog,27.72751,-82.47421,2018-10-16,established,Literature,Freshwater,MTB
1037,Mollusks,Thiaridae,Melanoides,tuberculata,Melanoides tuberculata,red-rim melania,27.73659,-82.46557,2019-02-19,,Literature,,MTB
110,Mollusks,Mytilidae,Perna,viridis,Perna viridis,green mussel,27.7424,-82.4816,2001-12-12,established,Personal communication,Marine,MTB
110,Mollusks,Mytilidae,Perna,viridis,Perna viridis,green mussel,27.7468,-82.475,2000-05-17,established,Personal communication,Marine,MTB
868,Fishes,Poeciliidae,Xiphophorus,sp.,Xiphophorus sp.,platyfish,27.7423,-82.4347,2023-05-04,established,Specimen,Freshwater,MTB
843,Fishes,Poeciliidae,Belonesox,belizanus,Belonesox belizanus,Pike Killifish,27.76576,-82.45193,2024-11-05,,Literature,,MTB
1259,Reptiles,Emydidae,Trachemys,scripta,Trachemys scripta,Pond Slider,27.78,-82.42,2012-03-08,unknown,Specimen,Freshwater,MTB
1259,Reptiles,Emydidae,Trachemys,scripta,Trachemys scripta,Pond Slider,27.78,-82.42,2012-03-08,unknown,Specimen,Freshwater,MTB
1259,Reptiles,Emydidae,Trachemys,scripta,Trachemys scripta,Pond Slider,27.78,-82.42,2012-03-08,unknown,Specimen,Freshwater,MTB
1259,Reptiles,Emydidae,Trachemys,scripta,Trachemys scripta,Pond Slider,27.78,-82.42,2012-03-08,unknown,Specimen,Freshwater,MTB
1259,Reptiles,Emydidae,Trachemys,scripta,Trachemys scripta,Pond Slider,27.78,-82.42,2012-03-08,unknown,Specimen,Freshwater,MTB
1259,Reptiles,Emydidae,Trachemys,scripta,Trachemys scripta,Pond Slider,27.78,-82.42,2012-03-08,unknown,Specimen,Freshwater,MTB
1259,Reptiles,Emydidae,Trachemys,scripta,Trachemys scripta,Pond Slider,27.78,-82.42,2012-03-08,unknown,Specimen,Freshwater,MTB
1259,Reptiles,Emydidae,Trachemys,scripta,Trachemys scripta,Pond Slider,27.78,-82.42,2012-03-08,unknown,Specimen,Freshwater,MTB
1259,Reptiles,Emydidae,Trachemys,scripta,Trachemys scripta,Pond Slider,27.78,-82.42,2011-04-26,unknown,Specimen,Freshwater,MTB
1259,Reptiles,Emydidae,Trachemys,scripta,Trachemys scripta,Pond Slider,27.78,-82.42,2012-03-08,unknown,Specimen,Freshwater,MTB
1259,Reptiles,Emydidae,Trachemys,scripta,Trachemys scripta,Pond Slider,27.78,-82.42,2012-03-08,unknown,Specimen,Freshwater,MTB
1259,Reptiles,Emydidae,Trachemys,scripta,Trachemys scripta,Pond Slider,27.78,-82.42,2012-03-08,unknown,Specimen,Freshwater,MTB
1259,Reptiles,Emydidae,Trachemys,scripta,Trachemys scripta,Pond Slider,27.78,-82.42,2012-04-03,unknown,Specimen,Freshwater,MTB
1259,Reptiles,Emydidae,Trachemys,scripta,Trachemys scripta,Pond Slider,27.78,-82.42,2012-03-08,unknown,Specimen,Freshwater,MTB
1259,Reptiles,Emydidae,Trachemys,scripta,Trachemys scripta,Pond Slider,27.78,-82.42,2012-05-26,unknown,Specimen,Freshwater,MTB
1259,Reptiles,Emydidae,Trachemys,scripta,Trachemys scripta,Pond Slider,27.78,-82.42,2012-05-26,unknown,Specimen,Freshwater,MTB
1259,Reptiles,Emydidae,Trachemys,scripta,Trachemys scripta,Pond Slider,27.78,-82.42,2012-03-08,unknown,Specimen,Freshwater,MTB
1259,Reptiles,Emydidae,Trachemys,scripta,Trachemys scripta,Pond Slider,27.78,-82.42,2012-11-03,unknown,Specimen,Freshwater,MTB
1259,Reptiles,Emydidae,Trachemys,scripta,Trachemys scripta,Pond Slider,27.78,-82.42,2012-03-08,unknown,Specimen,Freshwater,MTB
1259,Reptiles,Emydidae,Trachemys,scripta,Trachemys scripta,Pond Slider,27.78,-82.42,2012-11-03,unknown,Specimen,Freshwater,MTB
